id_indiv,taxonomyID,trappingDate,latitude,longitude
r7555,rattus-exulans,2018-07-10,19.1307625,100.7380041
r7556,rattus-exulans,2018-07-10,19.1312301,100.7382804
r7557,rattus-exulans,2018-07-10,19.1307024,100.7363536
r7558,rattus-exulans,2018-07-10,19.1312301,100.7382804
r7559,rattus-exulans,2018-07-10,19.131582,100.7378134
r7560,rattus-exulans,2018-07-10,19.1309282,100.7367287
r7561,rattus-exulans,2018-07-10,19.1310147,100.7379036
r7562,rattus-exulans,2018-07-10,19.1310147,100.7379036
r7563,rattus-exulans,2018-07-10,19.1309282,100.7367287
r7564,rattus-exulans,2018-07-10,19.1318030376,100.7388029806
r7565,rattus-exulans,2018-07-10,19.1292475,100.6998598
r7566,rattus-exulans,2018-07-10,19.1291011,100.6995832
r7567,maxomys-surifer,2018-07-10,19.13181502,100.72199399
r7568,maxomys-surifer,2018-07-10,19.13181502,100.72199399
r7569,bandicota-indica,2018-07-10,19.13034444,100.70093611
r7570,bandicota-indica,2018-07-10,19.13034444,100.70093611
r7571,rattus-exulans,2018-07-10,19.1307625,100.7380041
r7572,berylmys-bowersi,2018-07-11,19.131113888,100.696783
r7573,bandicota-indica,2018-07-11,19.13034444,100.70093611
r7574,bandicota-indica,2018-07-11,19.13034444,100.70093611
r7575,bandicota-indica,2018-07-11,19.13034444,100.70093611
r7576,bandicota-indica,2018-07-11,19.13034444,100.70093611
r7577,bandicota-indica,2018-07-11,19.13034444,100.70093611
r7578,maxomys-surifer,2018-07-11,19.1305928,100.7363472
r7579,rattus-tanezumi,2018-07-11,19.13034444,100.70093611
r7580,rattus-tanezumi,2018-07-11,19.131801,100.738592
r7581,rattus-exulans,2018-07-11,19.1305402,100.69720007
r7582,rattus-exulans,2018-07-11,19.1292475,100.6998598
r7583,rattus-exulans,2018-07-11,19.1292475,100.6998598
r7584,rattus-exulans,2018-07-11,19.1305928,100.7363472
r7585,rattus-exulans,2018-07-11,19.1310147,100.7379036
r7586,rattus-exulans,2018-07-11,19.1307895,100.736435
r7587,rattus-exulans,2018-07-11,19.131582,100.7378134
r7588,maxomys-surifer,2018-07-12,19.13181502,100.72199399
r7589,bandicota-indica,2018-07-12,19.13034444,100.70093611
r7590,rattus-exulans,2018-07-12,19.1312066,100.7380346
r7591,rattus-exulans,2018-07-12,19.1292475,100.6998598
r7592,rattus-exulans,2018-07-12,19.1310147,100.7379036
r7593,rattus-exulans,2018-07-12,19.1307625,100.7380041
r7594,rattus-exulans,2018-07-12,19.1309124,100.7366141
r7595,rattus-exulans,2018-07-12,19.1309124,100.7366141
r7596,bandicota-indica,2018-07-14,19.13989400,100.71656000
r7597,bandicota-indica,2018-07-14,19.13989400,100.71656000
r7598,bandicota-indica,2018-07-14,19.13989400,100.71656000
r7599,berylmys-berdmorei,2018-07-14,19.13989400,100.71656000
r7600,maxomys-surifer,2018-07-14,19.141341978,100.71588300
r7601,niviventer-fulvescens,2018-07-14,19.141341978,100.71588300
r7602,rattus-tanezumi,2018-07-14,19.139261003,100.7192490063
r7603,niviventer-fulvescens,2018-07-14,19.141341978,100.71588300
r7604,rattus-tanezumi,2018-07-14,19.1393044,100.7201141
r7605,rattus-tanezumi,2018-07-14,19.139032,100.7191915
r7606,bandicota-indica,2018-07-15,19.13989400,100.71656000
r7607,berylmys-berdmorei,2018-07-15,19.141341978,100.71588300
r7608,rattus-exulans,2018-07-15,19.1393959,100.7186416
r7609,rattus-andamanensis,2018-07-15,19.133209018,100.7183040
r7610,maxomys-surifer,2018-07-15,19.133209018,100.7183040
r7611,maxomys-surifer,2018-07-15,19.141341978,100.71588300
r7612,rattus-andamanensis,2018-07-15,19.133209018,100.7183040
r7613,rattus-exulans,2018-07-15,19.139032,100.7191915
r7614,mus-cookii,2018-07-15,19.139032,100.7191915
r7615,mus-cookii,2018-07-15,19.139032,100.7191915
r7616,rattus-exulans,2018-07-15,19.1396047,100.7192545
r7617,rattus-exulans,2018-07-15,19.1396047,100.7192545
r7618,rattus-tanezumi,2018-07-15,19.117562,100.789063
r7619,rattus-exulans,2018-07-15,19.139261003,100.7192490063
r7620,rattus-exulans,2018-07-15,19.117457,100.791125
r7621,rattus-exulans,2018-07-15,19.1181129,100.79041396
r7622,rattus-exulans,2018-07-15,19.139261003,100.7192490063
r7623,bandicota-indica,2018-07-16,19.13967297,100.7163610
r7624,bandicota-indica,2018-07-16,19.13967297,100.7163610
r7625,bandicota-indica,2018-07-16,19.11751097,100.780834
r7626,berylmys-berdmorei,2018-07-16,19.141341978,100.71588300
r7627,rattus-tanezumi,2018-07-16,19.1394951,100.7205242
r7628,rattus-tanezumi,2018-07-16,19.141973,100.756852
r7629,rattus-exulans,2018-07-16,19.1396047,100.7192545
r7630,mus-cookii,2018-07-16,19.1405789,100.7136300
r7631,rattus-exulans,2018-07-16,19.1394951,100.7205242
r7632,maxomys-surifer,2018-07-16,19.1405789,100.7136300
r7633,rattus-exulans,2018-07-16,19.1392173,100.7185849
r7634,rattus-exulans,2018-07-16,19.116721,100.789951
r7635,rattus-exulans,2018-07-16,19.11736,100.789726
r7636,rattus-exulans,2018-07-16,19.116825,100.790163
r7637,rattus-exulans,2018-07-16,19.141973,100.756852
r7638,mus-cookii,2018-07-16,19.146026,100.753097
r7639,rattus-exulans,2018-07-16,19.11678,100.790047
r7640,bandicota-indica,2018-07-17,19.0981719,100.7821319
r7641,rattus-tanezumi,2018-07-17,19.117562,100.789063
r7642,rattus-exulans,2018-07-17,19.117505,100.790137
r7643,rattus-exulans,2018-07-17,19.117025,100.790034
r7644,mus-cookii,2018-07-17,19.117663,100.791226
r7645,rattus-exulans,2018-07-17,19.117055,100.790267
r7646,bandicota-indica,2018-07-17,19.1285249,100.78299396
r7647,rattus-tanezumi,2018-07-18,19.1106010,100.7810279
r7648,mus-caroli,2018-07-18,19.0981719,100.7821319
r7649,rattus-exulans,2018-07-18,19.118678,100.784075
r7650,rattus-exulans,2018-07-18,19.118853,100.783792
r7651,rattus-exulans,2018-07-18,19.118853,100.783792
r7652,rattus-exulans,2018-07-18,19.118853,100.783792
r7653,rattus-exulans,2018-07-18,19.118506,100.783595
r7654,rattus-exulans,2018-07-18,19.118506,100.783595
r7655,rattus-tanezumi,2018-07-19,19.0982810408,100.7866000291
r7656,rattus-exulans,2018-07-19,19.118455,100.783672
r7657,rattus-exulans,2018-07-19,19.118629,100.783255
r7658,rattus-exulans,2018-07-19,19.118853,100.783792
r7659,rattus-exulans,2018-07-19,19.118853,100.783792
r7660,rattus-exulans,2018-07-19,19.118853,100.783792
r7661,rattus-exulans,2018-07-19,19.118853,100.783792
r7662,rattus-exulans,2018-07-19,19.118853,100.783792
r7663,rattus-exulans,2018-07-19,19.118853,100.783792
r7664,rattus-exulans,2018-07-19,19.097811,100.7869
r7665,rattus-tanezumi,2018-07-19,19.097908,100.786273
r7666,rattus-exulans,2018-07-20,19.097908,100.786273
r7667,rattus-exulans,2018-07-20,19.097908,100.786273
r7668,rattus-exulans,2018-07-20,19.119063,100.783059
r7669,rattus-exulans,2018-07-20,19.098227,100.787038
r7670,rattus-exulans,2018-07-20,19.0982810408,100.7866000291
r7671,rattus-tanezumi,2018-07-20,19.1295,100.78300
r7672,rattus-exulans,2018-07-20,19.131768,100.791703
r7673,rattus-exulans,2018-07-20,19.131298,100.791552
r7674,rattus-exulans,2018-07-20,19.119916,100.784839
r7675,rattus-exulans,2018-07-20,19.120035,100.7846
r7676,rattus-exulans,2018-07-20,19.119369,100.783769
r7677,rattus-exulans,2018-07-20,19.0982810408,100.7866000291
r7678,rattus-exulans,2018-07-20,19.118853,100.783792
